"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BDI","Burundi","","MLE","Male","","20.7","20.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BDI","Burundi","","FMLE","Female","","16.8","16.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BWA","Botswana","","MLE","Male","","27.0","27.00000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BWA","Botswana","","FMLE","Female","","20.5","20.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","BWA","Botswana","","MLE","Male","","17.1","17.10000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","BWA","Botswana","","FMLE","Female","","13.7","13.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","CIV","Côte d'Ivoire","","MLE","Male","","26.3","26.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","CIV","Côte d'Ivoire","","FMLE","Female","","10.9","10.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","COG","Congo","","MLE","Male","","27.6","27.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","COG","Congo","","FMLE","Female","","20.4","20.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","COG","Congo","","MLE","Male","","26.1","26.10000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","COG","Congo","","FMLE","Female","","21.9","21.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","COM","Comoros","","MLE","Male","","21.8","21.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","COM","Comoros","","FMLE","Female","","14.8","14.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","CPV","Cabo Verde","","MLE","Male","","14.7","14.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","CPV","Cabo Verde","","FMLE","Female","","11.7","11.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","DZA","Algeria","","MLE","Male","","17.4","17.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","DZA","Algeria","","FMLE","Female","","2.6","2.60000","","","","",""
